case_name,docket_number,date_filed,court,payment_found,payment_amount,outcome,url
"St. John's University, New York v. Bolton (E.D.N.Y 2010)",08-CV-5039 (NGG)(JMA),2010-12-10,,0,,unknown,https://www.courtlistener.com/opinion/2470125/st-johns-university-new-york-v-bolton/?q=%22Patent+Marking%22&type=o&order_by=dateFiled+desc&stat_Published=on&page=4
"Simonian v. Allergan, Inc. (N.D. Ill. 2010)",10 C 02414,2010-11-30,,0,,unknown,https://www.courtlistener.com/opinion/2473908/simonian-v-allergan-inc/?q=%22Patent+Marking%22&type=o&order_by=dateFiled+desc&stat_Published=on&page=4
"Hollander v. Etymotic Research, Inc. (E.D. Pa. 2010)",Civil Action 10-526,2010-11-01,,0,,unknown,https://www.courtlistener.com/opinion/2473262/hollander-v-etymotic-research-inc/?q=%22Patent+Marking%22&type=o&order_by=dateFiled+desc&stat_Published=on&page=4
Fujitsu Limited v. Netgear Inc. (Fed. Cir. 2010),2010-1045,2010-09-20,,0,,unknown,https://www.courtlistener.com/opinion/175546/fujitsu-limited-v-netgear-inc/?q=%22Patent+Marking%22&type=o&order_by=dateFiled+desc&stat_Published=on&page=4
Brinkmeier v. BIC CORP. (D. Del. 2010),"Civ. 09-860-SLR, 10-01-SLR",2010-08-25,,0,,unknown,https://www.courtlistener.com/opinion/2470464/brinkmeier-v-bic-corp/?q=%22Patent+Marking%22&type=o&order_by=dateFiled+desc&stat_Published=on&page=4
Belden Technologies Inc. v. Superior Essex Communications LP (D. Del. 2010),Civ. 08-63-SLR,2010-08-24,,0,,unknown,https://www.courtlistener.com/opinion/2477273/belden-technologies-inc-v-superior-essex-communications-lp/?q=%22Patent+Marking%22&type=o&order_by=dateFiled+desc&stat_Published=on&page=4
"F. Hoffmann-La Roche Ltd. v. Qiagen Gaithersburg, Inc. (S.D.N.Y. 2010)","09 Civ. 7326(WHP), 09 Civ. 7396(WHP)",2010-08-11,,0,,unknown,https://www.courtlistener.com/opinion/2473864/f-hoffmann-la-roche-ltd-v-qiagen-gaithersburg-inc/?q=%22Patent+Marking%22&type=o&order_by=dateFiled+desc&stat_Published=on&page=4
DeSena v. Beekley Corp. (D. Me. 2010),Civil 09-352-P-H,2010-08-03,,0,,unknown,https://www.courtlistener.com/opinion/2473176/desena-v-beekley-corp/?q=%22Patent+Marking%22&type=o&order_by=dateFiled+desc&stat_Published=on&page=4
Pequignot v. Solo Cup Co. (Fed. Cir. 2010),2009-1547,2010-06-10,,0,,unknown,https://www.courtlistener.com/opinion/148264/pequignot-v-solo-cup-co/?q=%22Patent+Marking%22&type=o&order_by=dateFiled+desc&stat_Published=on&page=4
"McKesson Automation, Inc. v. Swisslog Italia S.P.A. (D. Del. 2010)",Civ. 06-028-SLR,2010-05-18,,0,,unknown,https://www.courtlistener.com/opinion/2541954/mckesson-automation-inc-v-swisslog-italia-spa/?q=%22Patent+Marking%22&type=o&order_by=dateFiled+desc&stat_Published=on&page=4
"Zojo Solutions, Inc. v. Stanley Works (N.D. Ill. 2010)",10 C 1175,2010-05-12,,0,,unknown,https://www.courtlistener.com/opinion/2542608/zojo-solutions-inc-v-stanley-works/?q=%22Patent+Marking%22&type=o&order_by=dateFiled+desc&stat_Published=on&page=4
Brinkmeier v. Graco Children's Products Inc. (D. Del. 2010),C.A. 09-262-JJF,2010-02-16,,0,,unknown,https://www.courtlistener.com/opinion/1896746/brinkmeier-v-graco-childrens-products-inc/?q=%22Patent+Marking%22&type=o&order_by=dateFiled+desc&stat_Published=on&page=4
"SEB SA v. Montgomery Ward & Co., Inc. (Fed. Cir. 2010)","2009-1099, 2009-1108, 2009-1119",2010-02-05,,0,,unknown,https://www.courtlistener.com/opinion/811/seb-sa-v-montgomery-ward-co-inc/?q=%22Patent+Marking%22&type=o&order_by=dateFiled+desc&stat_Published=on&page=4
"Ethicon Endo-Surgery, Inc. v. Hologic, Inc. (S.D. Ohio 2010)",Case 1:07cv834,2010-01-27,,0,,unknown,https://www.courtlistener.com/opinion/2572589/ethicon-endo-surgery-inc-v-hologic-inc/?q=%22Patent+Marking%22&type=o&order_by=dateFiled+desc&stat_Published=on&page=4
"Crown Packaging Technology, Inc. v. Rexam Beverage Can Co. (D. Del. 2010)",Civil Action 05-608 (MPT),2010-01-15,,0,,unknown,https://www.courtlistener.com/opinion/2487145/crown-packaging-technology-inc-v-rexam-beverage-can-co/?q=%22Patent+Marking%22&type=o&order_by=dateFiled+desc&stat_Published=on&page=4
"Forest Group, Inc. v. Bon Tool Co. (Fed. Cir. 2009)",2009-1044,2009-12-28,,0,,unknown,https://www.courtlistener.com/opinion/893/forest-group-inc-v-bon-tool-co/?q=%22Patent+Marking%22&type=o&order_by=dateFiled+desc&stat_Published=on&page=4
Pequignot v. SOLO CUP COM. (E.D. Va. 2009),1:07cv897 (LMB/TCB),2009-08-25,,0,,unknown,https://www.courtlistener.com/opinion/1750726/pequignot-v-solo-cup-com/?q=%22Patent+Marking%22&type=o&order_by=dateFiled+desc&stat_Published=on&page=4
"Allied Erecting & Dismantling Co. v. Genesis Equipment & Manufacturing, Inc. (N.D. Ohio 2009)",Case 4:06CV114,2009-08-12,,0,,unknown,https://www.courtlistener.com/opinion/1632339/allied-erecting-dismantling-co-v-genesis-equipment-manufacturing/?q=%22Patent+Marking%22&type=o&order_by=dateFiled+desc&stat_Published=on&page=4
"Stauffer v. Brooks Bros., Inc. (S.D.N.Y. 2009)",08-cv-10369 (SHS),2009-05-14,,0,,unknown,https://www.courtlistener.com/opinion/1515051/stauffer-v-brooks-bros-inc/?q=%22Patent+Marking%22&type=o&order_by=dateFiled+desc&stat_Published=on&page=4
Rainworks Ltd. v. Mill-Rose Co. (N.D. Ohio 2009),Case No. 1:06CV1549,2009-03-31,,0,,unknown,https://www.courtlistener.com/opinion/2395263/rainworks-ltd-v-mill-rose-co/?q=%22Patent+Marking%22&type=o&order_by=dateFiled+desc&stat_Published=on&page=4
Pequignot v. Solo Cup Co. (E.D. Va. 2009),1:07cv897 (LMB/TCB),2009-03-27,,0,,unknown,https://www.courtlistener.com/opinion/1452253/pequignot-v-solo-cup-co/?q=%22Patent+Marking%22&type=o&order_by=dateFiled+desc&stat_Published=on&page=5
Rainworks Ltd. v. Mill-Rose Co. (N.D. Ohio 2009),Case 1:06CV1549,2009-03-17,,0,,unknown,https://www.courtlistener.com/opinion/1886702/rainworks-ltd-v-mill-rose-co/?q=%22Patent+Marking%22&type=o&order_by=dateFiled+desc&stat_Published=on&page=5
"SKF USA, Inc. v. United States Customs & Border Protection (Fed. Cir. 2009)","2008-1005, 2008-1006, 2008-1007, 2008-1008",2009-02-19,,0,,unknown,https://www.courtlistener.com/opinion/1466257/skf-usa-inc-v-united-states-customs-border-protection/?q=%22Patent+Marking%22&type=o&order_by=dateFiled+desc&stat_Published=on&page=5
Iris Corp. Berhad v. United States (Fed. Cl. 2008),No. 06-801C,2008-10-23,,0,,unknown,https://www.courtlistener.com/opinion/6775376/iris-corp-berhad-v-united-states/?q=%22Patent+Marking%22&type=o&order_by=dateFiled+desc&stat_Published=on&page=5
Pequignot v. Solo Cup Co. (E.D. Va. 2008),1:07CV897 (LMB/TCB),2008-03-24,,0,,unknown,https://www.courtlistener.com/opinion/1611641/pequignot-v-solo-cup-co/?q=%22Patent+Marking%22&type=o&order_by=dateFiled+desc&stat_Published=on&page=5
"Sprint Communications Company L.P., v. Vonage Holdings Corp. (D. Kan. 2007)",05-2433-JWL,2007-08-07,,0,,unknown,https://www.courtlistener.com/opinion/1409030/sprint-communications-company-lp-v-vonage-holdings-corp/?q=%22Patent+Marking%22&type=o&order_by=dateFiled+desc&stat_Published=on&page=5
"GP INDUSTRIES, LLC v. Bachman (D. Neb. 2007)","8:06CV50, 8:06CV51",2007-07-31,,0,,unknown,https://www.courtlistener.com/opinion/2579412/gp-industries-llc-v-bachman/?q=%22Patent+Marking%22&type=o&order_by=dateFiled+desc&stat_Published=on&page=5
"Crown Packaging Technology, Inc. v. Rexam Beverage Can Co. (D. Del. 2007)",Civil Action 05-608-MPT,2007-07-24,,0,,unknown,https://www.courtlistener.com/opinion/2511107/crown-packaging-technology-inc-v-rexam-beverage-can-co/?q=%22Patent+Marking%22&type=o&order_by=dateFiled+desc&stat_Published=on&page=5
"Bowling v. Hasbro, Inc. (D.R.I. 2007)",C.A. 05-229 S,2007-05-30,,0,,unknown,https://www.courtlistener.com/opinion/2576807/bowling-v-hasbro-inc/?q=%22Patent+Marking%22&type=o&order_by=dateFiled+desc&stat_Published=on&page=5
